A1,A2,A3,A4,class
0.5,0,0,0.333333,1
0.5,0,0.666667,0.333333,2
1,0,1,0,3
0.5,1,0.333333,0.333333,3
0,0,0.666667,1,3
0,0,0.666667,0.333333,2
1,0,0.666667,0.333333,2
1,1,0.333333,1,3
0.5,0.333333,0,0,1
0,0.333333,0,0,1
0.5,0.333333,0.666667,1,3
0,0,0.333333,0,1
0.5,0,0.333333,0.333333,2
0.5,1,0,1,3
0,0,0.666667,0.666667,1
1,0.333333,0,0.333333,2
0,0.333333,0,0,1
1,0,0.666667,0.333333,1
0,0.333333,0.333333,0,2
1,0.333333,0,0.666667,1
0.5,0,0.333333,0,1
1,0.333333,0,0.666667,1
0.5,0.666667,0.333333,0,1
1,0.333333,0.333333,0,2
1,0.333333,0,0.666667,2
0.5,0,0.333333,0.333333,2
0,0,0.666667,0.333333,1
0,1,0,0,3
0.5,0.333333,0,0.666667,1
0,0.333333,0,0.666667,2
0,0,0,0.333333,1
0.5,1,0.666667,0,3
1,0,0.333333,0.333333,2
1,0.333333,0.333333,0,2
0,0.333333,0,0.333333,2
0.5,0.333333,0.333333,0,2
0.5,0.333333,0,0.333333,2
1,0.333333,0,0.666667,2
1,0.333333,0,0,1
1,0,0.333333,0,1
0,0.333333,0,0.666667,2
0.5,0,0,0.333333,1
0,0,0,0.333333,1
0,0.333333,0.333333,0.666667,2
1,0.666667,0.666667,0,1
1,0.333333,0,0.333333,2
1,0.333333,0,0.333333,2
1,0,0.333333,0,1
0,0,0,0.333333,1
0.5,0,0.666667,0.333333,1
0.5,0.333333,0.333333,0,2
0.5,0,0.333333,0,1
0.5,0.333333,0,0.666667,1
0.5,0,0.333333,0.333333,2
0,0.333333,1,0.333333,3
0.5,0.333333,0,0.333333,2
0,0,0.333333,1,3
0,0.666667,0.333333,0,1
0.5,1,1,0.333333,3
0.5,0.666667,0.333333,0,1
1,0,0.333333,0.333333,2
0,0,0.333333,0.333333,2
0,0.666667,0.333333,1,3
0,0,0.333333,0.333333,2
1,0,1,0.333333,3
0.5,0,0.666667,0.333333,2
0,0,0.666667,0.333333,2
1,0,0.666667,0.333333,1
0,0.333333,1,1,3
0,1,0.333333,0,3
0.5,0,0.333333,0,1
1,1,0,0.333333,3
0.5,0.333333,1,0.666667,3
1,0,0.333333,0.333333,2
0,0,0.666667,0.333333,1
0,0.333333,0,0.666667,1
1,0.666667,0.666667,0.333333,2
0.5,0.333333,0,0.666667,2
1,0.666667,0.333333,0,2
0,0,0,0.666667,1
0.5,0.333333,0.333333,0,2
0.5,0.666667,0.333333,0.666667,2
0,0.666667,0.333333,0,2
0.5,0.333333,0,0.333333,2
0,0,0,0.333333,1
1,0.333333,0.333333,0,2
1,0.333333,0,0,1
0,0,0.333333,0,1
1,0,1,1,3
1,0.666667,0.333333,0,2
0.5,0.666667,0.333333,0,2
0.5,0,0.666667,0,1
0,0.333333,0,0.333333,2
1,0,0,0.333333,1
0,0.333333,0.333333,0,2
0.5,0.666667,0.333333,0,2
0.5,0.333333,0,1,3
0,1,0.333333,0.666667,3
0.5,0.333333,0,0,1
0,0.333333,0,0,1
0.5,0.333333,0.666667,0.333333,2
0,0.666667,0.333333,0,1
1,0,0.333333,0,1
1,0,0,0.333333,1
1,0.666667,0,1,3
0.5,0.666667,1,0,3
0,0.333333,0.666667,0.666667,2
1,0.666667,1,0.333333,3
0,0.333333,0.333333,0,2
1,0,0.333333,0.333333,2
1,0.333333,0.333333,1,3
0.5,0.666667,0,0.666667,1
0.5,0,0,0.333333,1
1,1,0,0.666667,3
0,0,1,0.666667,3
0.5,0,0.333333,0,1
0,0.333333,0,0.333333,2
0,0.333333,0.333333,0,2
1,0,0,0.333333,1
1,0.333333,0,0,1
1,0.666667,0.333333,0,1
1,0.333333,0,0,1
0,0,0.333333,0.333333,2
1,1,0.666667,0.333333,3
1,0.666667,0,0,1
0.5,0.333333,0,0,1
0,0,0.333333,0,1
0,1,1,0,3
0.5,0.333333,0,0.333333,2
0.5,0.333333,1,0,3
1,0.666667,0.333333,0.333333,2
0.5,0,0,1,3
0,0,0,0.333333,1
0,0,0.333333,0,1
0,0.333333,0,0,1
0,0,0,0.666667,1
0,0,0.666667,0,1
0,0.666667,0,0,1
0,0,0.666667,0.666667,1
0,0.666667,0,0.666667,1
0,0.666667,0.666667,0,1
0,0.333333,0.333333,0,2
0,0.333333,0,0.333333,2
0,0,0.333333,0.333333,2
0,0.333333,0.333333,0.666667,2
0,0.333333,0.666667,0.333333,2
0,0.666667,0.333333,0.333333,2
0,0.333333,0.666667,0.666667,2
0,0.666667,0.333333,0.666667,2
0,0.666667,0.666667,0.333333,2
0,0,0.666667,0.333333,1
0,0.666667,0.333333,0,2
0,0.333333,0,0.666667,1
0,0.333333,0.666667,0,2
0,0,0.333333,0.666667,1
0,0.666667,0,0.333333,2
0,0,0,0,1
0,0.333333,0.333333,0.333333,2
0,0.666667,0.666667,0.666667,1
0,1,1,1,3
